,date,open,high,low,close,volume,market_cap,year,month,quarter,price
7407,2019-06-16,8841.44,9335.87,8814.56,8994.49,23348550311.0,159769423370.0,2019,June,2,8996.59
7408,2019-06-15,8689.75,8859.13,8618.4,8838.38,18371033226.0,156982138835.0,2019,June,2,8751.414999999999
7409,2019-06-14,8230.9,8710.64,8183.39,8693.83,19831162906.0,154398880249.0,2019,June,2,8454.69
7410,2019-06-13,8145.55,8311.57,8087.06,8230.92,18669407147.0,146160317148.0,2019,June,2,8193.775
7411,2019-06-12,7925.43,8196.65,7862.36,8145.86,19034432883.0,144634684711.0,2019,June,2,8032.575000000001
7412,2019-06-11,8004.24,8026.39,7772.8,7927.71,17107279932.0,140748537530.0,2019,June,2,7932.785
7413,2019-06-10,7692.28,8031.91,7586.73,8000.33,18689275117.0,142023351079.0,2019,June,2,7827.8125
7414,2019-06-09,7949.67,7975.97,7583.22,7688.08,16610726547.0,136465098533.0,2019,June,2,7799.235000000001
7415,2019-06-08,8036.77,8076.89,7837.61,7954.13,16522722810.0,141172841635.0,2019,June,2,7976.35
7416,2019-06-07,7826.9,8126.15,7788.37,8043.95,19141423231.0,142754693588.0,2019,June,2,7946.3425
7417,2019-06-06,7819.63,7937.34,7571.47,7822.02,19474611077.0,138800725479.0,2019,June,2,7787.615000000001
7418,2019-06-05,7704.34,7901.85,7668.67,7824.23,21760923463.0,138824651666.0,2019,June,2,7774.772499999999
7419,2019-06-04,8210.99,8210.99,7564.49,7707.77,24609731549.0,136742790469.0,2019,June,2,7923.5599999999995
7420,2019-06-03,8741.75,8743.5,8204.19,8208.99,22004511436.0,145619047341.0,2019,June,2,8474.6075
7421,2019-06-02,8565.47,8809.3,8561.24,8742.96,20266216022.0,155077231351.0,2019,June,2,8669.7425
7422,2019-06-01,8573.84,8625.6,8481.58,8564.02,22488303544.0,151890214310.0,2019,June,2,8561.26
7423,2019-05-31,8320.29,8586.66,8172.55,8574.5,25365190957.0,152059886414.0,2019,May,2,8413.5
7424,2019-05-30,8661.76,9008.31,8221.27,8319.47,29246528551.0,147525141134.0,2019,May,2,8552.7025
7425,2019-05-29,8718.59,8755.85,8482.73,8659.49,23473479966.0,153537047655.0,2019,May,2,8654.165
7426,2019-05-28,8802.76,8807.02,8634.72,8719.96,24226919267.0,154590202287.0,2019,May,2,8741.115
7427,2019-05-27,8674.07,8907.17,8668.7,8805.78,27949839564.0,156093754762.0,2019,May,2,8763.93
7428,2019-05-26,8055.21,8687.52,7924.67,8673.22,26677970091.0,153725486067.0,2019,May,2,8335.155
7429,2019-05-25,7991.89,8117.93,7965.98,8052.54,22256813107.0,142708188838.0,2019,May,2,8032.085
7430,2019-05-24,7881.7,8140.72,7824.45,7987.37,25919126991.0,141539115575.0,2019,May,2,7958.56
7431,2019-05-23,7677.27,7943.79,7533.2,7881.85,24457107820.0,139654107035.0,2019,May,2,7759.0275
7432,2019-05-22,7956.29,7997.61,7615.99,7680.07,24719473175.0,136063898960.0,2019,May,2,7812.49
7433,2019-05-21,7977.97,8062.17,7843.34,7963.33,25127245056.0,141065573610.0,2019,May,2,7961.7025
7434,2019-05-20,8196.92,8200.97,7678.78,7978.31,23843404340.0,141315695728.0,2019,May,2,8013.744999999999
7435,2019-05-19,7267.96,8261.94,7267.96,8197.69,25902422040.0,145185076705.0,2019,May,2,7748.887500000001
7436,2019-05-18,7341.66,7447.27,7251.5,7271.21,21354286562.0,128761727083.0,2019,May,2,7327.91
7437,2019-05-17,7886.93,7929.15,7038.12,7343.9,30066644905.0,130034777633.0,2019,May,2,7549.525
7438,2019-05-16,8194.5,8320.82,7729.61,7884.91,33167197581.0,139599559278.0,2019,May,2,8032.46
7439,2019-05-15,7989.37,8216.42,7899.11,8205.17,28344112920.0,145254332460.0,2019,May,2,8077.5175
7440,2019-05-14,7807.88,8268.71,7696.39,7994.42,32031452227.0,141508656735.0,2019,May,2,7941.849999999999
7441,2019-05-13,6971.18,8047.41,6898.28,7814.92,28677672181.0,138316573807.0,2019,May,2,7432.9475
7442,2019-05-12,7203.51,7503.87,6815.77,6972.37,27773333680.0,123389710222.0,2019,May,2,7123.88
7443,2019-05-11,6379.67,7333.0,6375.7,7204.77,28867562329.0,127488435181.0,2019,May,2,6823.285000000001
7444,2019-05-10,6175.82,6434.62,6161.52,6378.85,19419875368.0,112863284035.0,2019,May,2,6287.7025
7445,2019-05-09,5982.32,6183.04,5982.32,6174.53,16784645411.0,109238600750.0,2019,May,2,6080.5525
7446,2019-05-08,5849.48,5989.98,5794.72,5982.46,15320605300.0,105829143585.0,2019,May,2,5904.16
7447,2019-05-07,5745.6,5988.18,5741.4,5829.5,18026409033.0,103112368557.0,2019,May,2,5826.17
7448,2019-05-06,5791.69,5802.96,5653.69,5746.81,15737171804.0,101640471056.0,2019,May,2,5748.787499999999
7449,2019-05-05,5831.07,5833.86,5708.04,5795.71,14808830723.0,102494420158.0,2019,May,2,5792.17
7450,2019-05-04,5769.2,5886.89,5645.47,5831.17,17567780766.0,103112021259.0,2019,May,2,5783.1825
7451,2019-05-03,5505.55,5865.88,5490.2,5768.29,18720780006.0,101986240859.0,2019,May,2,5657.4800000000005
7452,2019-05-02,5402.42,5522.26,5394.22,5505.28,14644460907.0,97330112147.0,2019,May,2,5456.045
7453,2019-05-01,5350.91,5418.0,5347.65,5402.7,13679528236.0,95501110091.0,2019,May,2,5379.8150000000005
7454,2019-04-30,5247.73,5363.26,5224.19,5350.73,13878964574.0,94573826827.0,2019,April,2,5296.4775
7455,2019-04-29,5284.86,5311.27,5216.49,5247.35,13735490672.0,92737510865.0,2019,April,2,5264.9925
7456,2019-04-28,5271.75,5326.23,5255.68,5285.14,12819992056.0,93391244395.0,2019,April,2,5284.7
7457,2019-04-27,5279.47,5310.75,5233.64,5268.29,13111274675.0,93086156556.0,2019,April,2,5273.0375
7458,2019-04-26,5210.3,5383.63,5177.37,5279.35,16812108040.0,93272287960.0,2019,April,2,5262.6625
7459,2019-04-25,5466.52,5542.24,5181.34,5210.52,15330283408.0,92046492864.0,2019,April,2,5350.155000000001
7460,2019-04-24,5571.51,5642.04,5418.26,5464.87,17048033399.0,96530038144.0,2019,April,2,5524.17
7461,2019-04-23,5399.37,5633.8,5389.41,5572.36,15867308108.0,98417387004.0,2019,April,2,5498.735
7462,2019-04-22,5312.49,5422.69,5280.28,5399.37,14601631648.0,95354207776.0,2019,April,2,5353.7074999999995
7463,2019-04-21,5335.88,5359.93,5257.34,5314.53,13731844223.0,93847052256.0,2019,April,2,5316.92
7464,2019-04-20,5304.16,5358.49,5295.88,5337.89,13169647522.0,94248717444.0,2019,April,2,5324.105
7465,2019-04-19,5298.15,5336.68,5233.34,5303.81,13780238655.0,93638345002.0,2019,April,2,5292.995
7466,2019-04-18,5251.48,5319.99,5250.51,5298.39,13256489918.0,93532402741.0,2019,April,2,5280.0925
7467,2019-04-17,5236.14,5274.28,5219.21,5251.94,12438480677.0,92702617458.0,2019,April,2,5245.3925
7468,2019-04-16,5066.58,5238.95,5055.19,5235.56,11618660197.0,92404613297.0,2019,April,2,5149.07
7469,2019-04-15,5167.32,5196.61,5024.07,5067.11,12290155061.0,89422237603.0,2019,April,2,5113.7775
7470,2019-04-14,5095.76,5184.02,5053.57,5167.72,10391952498.0,91188595341.0,2019,April,2,5125.2675
7471,2019-04-13,5088.85,5127.12,5061.59,5096.59,10823289598.0,89925574875.0,2019,April,2,5093.5375
7472,2019-04-12,5061.2,5103.27,4955.85,5089.54,13675206312.0,89792633045.0,2019,April,2,5052.465
7473,2019-04-11,5325.08,5354.23,5017.3,5064.49,16555616019.0,89341168457.0,2019,April,2,5190.275
7474,2019-04-10,5204.11,5421.65,5193.38,5324.55,15504590933.0,93918439274.0,2019,April,2,5285.9225
7475,2019-04-09,5289.92,5289.92,5167.42,5204.96,14722104361.0,91799330425.0,2019,April,2,5238.055
7476,2019-04-08,5199.84,5318.84,5148.21,5289.77,17154113634.0,93286365973.0,2019,April,2,5239.165
7477,2019-04-07,5062.79,5235.19,5050.41,5198.9,16655416140.0,91674230186.0,2019,April,2,5136.822499999999
